Date,Open,High,Low,Close,Volume
22-Sep-17,124.58,125.42,124.35,124.43,2616709
21-Sep-17,124.52,125.04,123.82,124.79,2615367
20-Sep-17,124.97,125.28,124.18,124.85,3151576
19-Sep-17,123.96,124.93,123.76,124.74,3050029
18-Sep-17,123.62,124.43,122.85,123.83,4349014
15-Sep-17,121.01,121.57,120.31,121.37,4610125
14-Sep-17,119.79,120.79,119.21,120.48,2904856
13-Sep-17,120.50,121.00,119.41,119.63,2532234
12-Sep-17,119.19,121.39,119.06,120.94,5554631
11-Sep-17,118.82,118.92,117.47,118.87,3527473
8-Sep-17,117.23,118.85,117.00,117.82,2786971
7-Sep-17,117.38,117.93,116.50,117.77,3270114
6-Sep-17,118.75,119.18,116.98,116.98,4292595
5-Sep-17,118.14,119.13,117.82,118.30,3830667
1-Sep-17,117.49,118.82,117.40,118.28,2992226
31-Aug-17,117.95,118.83,117.35,117.49,3357695
30-Aug-17,116.12,117.69,115.88,117.55,3401022
29-Aug-17,114.38,116.60,114.30,116.01,4355661
28-Aug-17,115.76,116.06,114.66,115.07,2011033
25-Aug-17,115.47,116.64,115.15,115.35,3282217
24-Aug-17,115.00,115.05,114.39,114.78,1861155
23-Aug-17,115.00,115.38,114.75,114.75,2447632
22-Aug-17,114.21,115.86,114.00,115.82,3881054
21-Aug-17,113.75,114.09,113.27,113.60,3137367
18-Aug-17,112.99,114.64,112.69,113.92,3875693
17-Aug-17,114.00,114.37,113.14,113.14,2905050
16-Aug-17,113.81,114.50,113.63,114.12,2268555
15-Aug-17,114.00,114.23,113.32,113.65,2826822
14-Aug-17,113.46,114.37,113.27,113.71,1968916
11-Aug-17,113.07,113.67,112.75,112.85,2130558
10-Aug-17,113.89,114.13,112.86,113.15,3186723
9-Aug-17,114.39,115.46,114.11,114.34,3170051
8-Aug-17,114.59,115.25,114.19,114.41,2601217
7-Aug-17,114.48,114.99,114.30,114.71,2269385
4-Aug-17,113.88,114.64,113.45,114.35,2631896
3-Aug-17,112.85,113.72,112.85,113.56,2438868
2-Aug-17,113.15,113.58,112.09,113.09,2830626
1-Aug-17,114.27,114.43,112.52,113.10,3683681
31-Jul-17,-,-,-,113.95,4486013
28-Jul-17,114.45,114.90,113.48,114.10,4704478
27-Jul-17,113.72,114.39,113.25,114.37,5583481
26-Jul-17,114.25,114.54,113.08,113.52,5741249
25-Jul-17,113.24,114.89,111.80,114.54,14264596
24-Jul-17,107.86,108.50,107.29,108.18,5980369
21-Jul-17,106.71,106.95,105.11,106.59,4258115
20-Jul-17,107.88,108.15,107.06,107.32,3759740
19-Jul-17,107.30,108.00,107.14,107.85,2857917
18-Jul-17,108.22,108.22,106.57,107.07,3984361
17-Jul-17,108.00,109.38,107.98,108.84,2969519
14-Jul-17,108.55,109.36,108.05,108.77,4480218
13-Jul-17,108.89,109.25,107.97,108.47,3051071
12-Jul-17,108.92,110.00,108.84,108.96,3611614
11-Jul-17,107.91,108.47,107.05,108.24,2559920
10-Jul-17,106.73,108.49,106.24,107.84,2951468
7-Jul-17,106.61,107.58,105.85,106.92,2767868
6-Jul-17,107.23,107.89,106.30,106.51,2921670
5-Jul-17,107.00,107.88,106.65,107.49,3483617
3-Jul-17,106.51,107.84,106.48,106.97,2404896
30-Jun-17,106.10,108.04,105.83,107.46,4702148
29-Jun-17,106.45,106.97,104.81,105.64,3550032
28-Jun-17,104.85,106.63,104.76,106.45,4118284
27-Jun-17,104.50,105.23,103.69,103.93,3380676
26-Jun-17,104.66,105.63,103.44,104.25,2857661
23-Jun-17,102.50,104.27,102.30,104.11,12089818
22-Jun-17,103.57,104.66,103.49,103.84,3652480
21-Jun-17,106.63,106.76,103.15,103.47,6274065
20-Jun-17,108.06,108.18,106.92,107.04,5314140
19-Jun-17,107.95,108.04,106.67,107.49,4347630
16-Jun-17,106.76,107.91,106.40,107.60,7350440
15-Jun-17,103.80,106.64,103.80,106.40,5974059
14-Jun-17,105.80,105.99,103.99,104.71,4100230
13-Jun-17,106.18,106.66,105.50,105.75,3522709
12-Jun-17,105.65,106.35,104.90,106.07,4167423
9-Jun-17,105.09,107.02,105.03,105.92,3881020
8-Jun-17,103.80,105.39,103.61,105.01,4649344
7-Jun-17,104.30,104.69,102.45,103.51,5121650
6-Jun-17,104.79,105.52,104.06,104.55,3800243
5-Jun-17,105.58,107.17,105.14,105.20,4319496
2-Jun-17,105.67,106.76,105.18,105.95,3702809
1-Jun-17,105.77,106.43,105.16,105.65,4211339
31-May-17,105.25,105.76,103.60,105.43,4131439
30-May-17,105.26,105.86,105.01,105.47,3211672
26-May-17,105.00,105.71,104.62,105.66,2894109
25-May-17,104.45,105.94,104.24,105.02,5220575
24-May-17,103.33,104.91,103.15,103.95,5174710
23-May-17,102.30,103.75,102.06,103.63,3327626
22-May-17,102.67,103.05,101.81,102.29,4377007
